I2C Interface
Sample, TimeStamp(ms), Temperature(deg C), Pressure(Pa), Humidity(%), Gas resistance(ohm), Gas Index, Status
158, 1405017534, 25.97, 99595.29, 38.87, 33773.09, 0, 0xb0
159, 1405017737, 25.97, 99594.21, 38.87, 33666.49, 0, 0xb0
160, 1405017941, 25.98, 99594.88, 38.88, 33853.48, 0, 0xb0
161, 1405018145, 25.98, 99596.06, 38.87, 33853.48, 0, 0xb0
162, 1405018348, 25.97, 99594.21, 38.87, 33961.26, 0, 0xb0
163, 1405018552, 25.98, 99593.23, 38.85, 34096.96, 0, 0xb0
164, 1405018756, 25.98, 99595.05, 38.87, 34015.41, 0, 0xb0
165, 1405018959, 25.98, 99591.36, 38.84, 33934.25, 0, 0xb0
166, 1405019163, 25.98, 99590.57, 38.85, 34178.91, 0, 0xb0
167, 1405019366, 25.99, 99595.16, 38.84, 34233.75, 0, 0xb0
168, 1405019570, 25.99, 99595.31, 38.84, 34288.78, 0, 0xb0
169, 1405019774, 25.99, 99591.77, 38.81, 34343.98, 0, 0xb0
170, 1405019977, 25.99, 99592.58, 38.82, 34371.64, 0, 0xb0
171, 1405020181, 25.99, 99595.01, 38.82, 34482.76, 0, 0xb0
172, 1405020384, 25.99, 99594.62, 38.81, 34735.41, 0, 0xb0
173, 1405020588, 26.00, 99594.20, 38.80, 34594.59, 0, 0xb0
174, 1405020792, 26.00, 99594.45, 38.81, 34792.06, 0, 0xb0
175, 1405020995, 26.00, 99595.30, 38.79, 34678.95, 0, 0xb0
176, 1405021199, 26.00, 99594.45, 38.80, 34934.50, 0, 0xb0
177, 1405021403, 26.01, 99593.70, 38.80, 34877.38, 0, 0xb0
178, 1405021606, 26.01, 99591.32, 38.79, 34877.38, 0, 0xb0
179, 1405021810, 26.01, 99593.48, 38.80, 34963.12, 0, 0xb0
180, 1405022014, 26.01, 99594.32, 38.78, 35164.84, 0, 0xb0
181, 1405022217, 26.01, 99594.73, 38.79, 34991.80, 0, 0xb0
182, 1405022421, 26.02, 99593.40, 38.79, 35078.11, 0, 0xb0
183, 1405022624, 26.01, 99592.94, 38.80, 35222.89, 0, 0xb0
184, 1405022828, 26.02, 99593.68, 38.79, 35222.89, 0, 0xb0
185, 1405023032, 26.02, 99595.24, 38.79, 35368.89, 0, 0xb0
186, 1405023235, 26.02, 99593.60, 38.80, 35575.32, 0, 0xb0
187, 1405023439, 26.02, 99593.71, 38.80, 35516.09, 0, 0xb0
188, 1405023642, 26.02, 99592.72, 38.82, 35516.09, 0, 0xb0
189, 1405023846, 26.02, 99594.69, 38.80, 35398.23, 0, 0xb0
190, 1405024050, 26.03, 99593.23, 38.79, 35634.74, 0, 0xb0
191, 1405024253, 26.03, 99596.38, 38.81, 35754.19, 0, 0xb0
192, 1405024457, 26.03, 99593.62, 38.79, 35605.01, 0, 0xb0
193, 1405024660, 26.03, 99591.79, 38.80, 35844.30, 0, 0xb0
194, 1405024864, 26.03, 99592.28, 38.80, 35664.53, 0, 0xb0
195, 1405025068, 26.03, 99595.19, 38.81, 35814.21, 0, 0xb0
196, 1405025271, 26.03, 99594.66, 38.79, 35754.19, 0, 0xb0
197, 1405025475, 26.04, 99593.50, 38.80, 35965.16, 0, 0xb0
198, 1405025679, 26.04, 99592.68, 38.79, 36086.83, 0, 0xb0
199, 1405025882, 26.04, 99593.39, 38.79, 36147.98, 0, 0xb0
200, 1405026086, 26.04, 99591.29, 38.80, 36056.34, 0, 0xb0
201, 1405026289, 26.04, 99593.07, 38.80, 36086.83, 0, 0xb0
202, 1405026493, 26.04, 99593.84, 38.79, 36056.34, 0, 0xb0
203, 1405026697, 26.05, 99593.05, 38.78, 36147.98, 0, 0xb0
204, 1405026900, 26.05, 99596.37, 38.79, 36301.76, 0, 0xb0
205, 1405027104, 26.05, 99593.75, 38.77, 36394.66, 0, 0xb0
206, 1405027308, 26.05, 99593.42, 38.77, 36394.66, 0, 0xb0
207, 1405027511, 26.05, 99593.27, 38.77, 36581.88, 0, 0xb0
208, 1405027715, 26.05, 99594.01, 38.77, 36394.66, 0, 0xb0
209, 1405027918, 26.05, 99591.12, 38.76, 36613.27, 0, 0xb0
210, 1405028122, 26.06, 99592.58, 38.76, 36613.27, 0, 0xb0
211, 1405028326, 26.06, 99594.86, 38.74, 36550.54, 0, 0xb0
212, 1405028529, 26.06, 99594.12, 38.73, 36644.72, 0, 0xb0
213, 1405028733, 26.06, 99595.04, 38.73, 36771.04, 0, 0xb0
214, 1405028937, 26.07, 99592.70, 38.71, 36802.76, 0, 0xb0
215, 1405029140, 26.07, 99594.67, 38.72, 36771.04, 0, 0xb0
216, 1405029344, 26.07, 99594.23, 38.71, 36802.76, 0, 0xb0
217, 1405029547, 26.06, 99593.16, 38.69, 36930.18, 0, 0xb0
218, 1405029751, 26.07, 99596.14, 38.68, 37090.70, 0, 0xb0
219, 1405029955, 26.07, 99593.61, 38.66, 37058.48, 0, 0xb0
220, 1405030158, 26.08, 99593.52, 38.66, 37090.70, 0, 0xb0
221, 1405030362, 26.08, 99594.05, 38.66, 37090.70, 0, 0xb0
222, 1405030565, 26.08, 99592.19, 38.66, 37220.12, 0, 0xb0
223, 1405030769, 26.08, 99592.08, 38.65, 37122.97, 0, 0xb0
224, 1405030973, 26.08, 99593.59, 38.64, 37252.62, 0, 0xb0
225, 1405031176, 26.08, 99592.75, 38.64, 37187.68, 0, 0xb0
226, 1405031380, 26.09, 99593.05, 38.64, 37547.67, 0, 0xb0
227, 1405031584, 26.09, 99593.99, 38.64, 37547.67, 0, 0xb0
228, 1405031787, 26.09, 99596.41, 38.63, 37481.70, 0, 0xb0
229, 1405031991, 26.09, 99594.77, 38.63, 37580.74, 0, 0xb0
230, 1405032194, 26.09, 99594.07, 38.62, 37780.40, 0, 0xb0
231, 1405032398, 26.09, 99592.66, 38.61, 37514.65, 0, 0xb0
232, 1405032602, 26.09, 99593.97, 38.62, 37547.67, 0, 0xb0
233, 1405032805, 26.10, 99595.18, 38.62, 37580.74, 0, 0xb0
234, 1405033009, 26.09, 99595.58, 38.61, 37914.69, 0, 0xb0
235, 1405033213, 26.10, 99594.64, 38.62, 37680.30, 0, 0xb0
236, 1405033416, 26.11, 99594.52, 38.61, 37680.30, 0, 0xb0
237, 1405033620, 26.11, 99595.15, 38.61, 37914.69, 0, 0xb0
238, 1405033823, 26.11, 99595.51, 38.61, 37813.89, 0, 0xb0
239, 1405034027, 26.11, 99592.39, 38.62, 37914.69, 0, 0xb0
240, 1405034231, 26.11, 99595.88, 38.62, 37982.20, 0, 0xb0
241, 1405034434, 26.11, 99594.34, 38.60, 38254.63, 0, 0xb0
242, 1405034638, 26.11, 99594.95, 38.62, 37982.20, 0, 0xb0
243, 1405034841, 26.11, 99593.73, 38.62, 38083.90, 0, 0xb0
244, 1405035045, 26.11, 99595.70, 38.61, 38016.04, 0, 0xb0
245, 1405035249, 26.11, 99595.12, 38.61, 38186.16, 0, 0xb0
246, 1405035452, 26.12, 99592.33, 38.60, 38220.36, 0, 0xb0
247, 1405035656, 26.12, 99593.55, 38.60, 38288.96, 0, 0xb0
248, 1405035860, 26.12, 99594.91, 38.59, 38461.54, 0, 0xb0
249, 1405036063, 26.12, 99595.93, 38.59, 38220.36, 0, 0xb0
250, 1405036267, 26.12, 99594.73, 38.57, 38496.24, 0, 0xb0
251, 1405036470, 26.12, 99594.79, 38.55, 38600.72, 0, 0xb0
252, 1405036674, 26.13, 99594.98, 38.53, 38635.68, 0, 0xb0
253, 1405036878, 26.13, 99593.89, 38.52, 38426.90, 0, 0xb0
254, 1405037081, 26.13, 99594.48, 38.51, 38496.24, 0, 0xb0
255, 1405037285, 26.13, 99595.85, 38.51, 38811.40, 0, 0xb0
256, 1405037488, 26.13, 99595.35, 38.48, 38740.92, 0, 0xb0
257, 1405037692, 26.13, 99594.25, 38.46, 38705.78, 0, 0xb0
258, 1405037896, 26.14, 99595.69, 38.46, 38635.68, 0, 0xb0
259, 1405038099, 26.13, 99592.30, 38.44, 38953.13, 0, 0xb0
260, 1405038303, 26.13, 99593.59, 38.42, 38882.14, 0, 0xb0
261, 1405038506, 26.14, 99594.16, 38.41, 38917.61, 0, 0xb0
262, 1405038710, 26.14, 99596.85, 38.40, 39131.77, 0, 0xb0
263, 1405038914, 26.14, 99595.20, 38.40, 38953.13, 0, 0xb0
264, 1405039117, 26.14, 99596.46, 38.38, 39239.73, 0, 0xb0
265, 1405039321, 26.15, 99596.05, 38.39, 38988.73, 0, 0xb0
266, 1405039525, 26.14, 99593.01, 38.37, 39239.73, 0, 0xb0
267, 1405039728, 26.14, 99594.12, 38.37, 39348.29, 0, 0xb0
268, 1405039932, 26.15, 99596.10, 38.36, 39203.68, 0, 0xb0
269, 1405040135, 26.15, 99592.73, 38.37, 39312.04, 0, 0xb0
270, 1405040339, 26.15, 99596.53, 38.33, 39275.85, 0, 0xb0
271, 1405040543, 26.15, 99594.97, 38.33, 39567.23, 0, 0xb0
272, 1405040746, 26.15, 99595.63, 38.32, 39275.85, 0, 0xb0
273, 1405040950, 26.15, 99595.26, 38.31, 39384.62, 0, 0xb0
274, 1405041154, 26.16, 99595.37, 38.30, 39567.23, 0, 0xb0
275, 1405041357, 26.16, 99592.07, 38.30, 39567.23, 0, 0xb0
276, 1405041561, 26.16, 99595.94, 38.28, 39457.46, 0, 0xb0
277, 1405041764, 26.16, 99594.61, 38.29, 39530.57, 0, 0xb0
278, 1405041968, 26.16, 99594.87, 38.28, 39603.96, 0, 0xb0
279, 1405042172, 26.16, 99595.38, 38.28, 39640.75, 0, 0xb0
280, 1405042375, 26.16, 99594.65, 38.27, 39825.76, 0, 0xb0
281, 1405042579, 26.17, 99595.40, 38.26, 39975.02, 0, 0xb0
282, 1405042782, 26.17, 99595.97, 38.27, 39900.25, 0, 0xb0
283, 1405042986, 26.17, 99594.87, 38.28, 39900.25, 0, 0xb0
284, 1405043190, 26.17, 99597.08, 38.28, 39900.25, 0, 0xb0
285, 1405043393, 26.17, 99597.08, 38.30, 39900.25, 0, 0xb0
286, 1405043597, 26.17, 99594.62, 38.32, 40087.69, 0, 0xb0
287, 1405043801, 26.17, 99595.35, 38.33, 40163.16, 0, 0xb0
288, 1405044004, 26.17, 99593.94, 38.33, 40087.69, 0, 0xb0
289, 1405044208, 26.17, 99595.23, 38.35, 40276.90, 0, 0xb0
290, 1405044411, 26.17, 99595.30, 38.37, 40125.39, 0, 0xb0
291, 1405044615, 26.17, 99593.05, 38.37, 40163.16, 0, 0xb0
292, 1405044819, 26.18, 99596.38, 38.38, 40353.09, 0, 0xb0
293, 1405045022, 26.18, 99593.68, 38.37, 40467.91, 0, 0xb0
294, 1405045226, 26.18, 99595.06, 38.39, 40391.29, 0, 0xb0
295, 1405045429, 26.18, 99594.27, 38.38, 40238.92, 0, 0xb0
296, 1405045633, 26.18, 99596.33, 38.37, 40506.33, 0, 0xb0
297, 1405045837, 26.18, 99593.72, 38.38, 40391.29, 0, 0xb0
298, 1405046040, 26.18, 99593.81, 38.36, 40391.29, 0, 0xb0
299, 1405046244, 26.19, 99594.92, 38.37, 40506.33, 0, 0xb0
300, 1405046448, 26.19, 99594.64, 38.37, 40699.52, 0, 0xb0
301, 1405046651, 26.19, 99593.97, 38.35, 40391.29, 0, 0xb0
302, 1405046855, 26.19, 99594.79, 38.35, 40660.74, 0, 0xb0
303, 1405047058, 26.19, 99592.48, 38.33, 40777.32, 0, 0xb0
304, 1405047262, 26.20, 99596.02, 38.34, 40699.52, 0, 0xb0
305, 1405047466, 26.20, 99592.88, 38.33, 40544.82, 0, 0xb0
306, 1405047669, 26.20, 99592.88, 38.32, 40894.57, 0, 0xb0
307, 1405047873, 26.20, 99595.13, 38.30, 40855.41, 0, 0xb0
308, 1405048076, 26.20, 99594.28, 38.28, 40777.32, 0, 0xb0
309, 1405048280, 26.20, 99594.98, 38.28, 40816.33, 0, 0xb0
310, 1405048484, 26.20, 99593.59, 38.28, 40699.52, 0, 0xb0
311, 1405048687, 26.20, 99592.98, 38.27, 40816.33, 0, 0xb0
312, 1405048891, 26.20, 99593.61, 38.25, 41051.96, 0, 0xb0
313, 1405049095, 26.21, 99593.90, 38.25, 40973.11, 0, 0xb0
314, 1405049298, 26.21, 99593.95, 38.25, 41091.49, 0, 0xb0
315, 1405049502, 26.21, 99595.65, 38.25, 41051.96, 0, 0xb0
316, 1405049705, 26.21, 99595.52, 38.25, 40933.80, 0, 0xb0
317, 1405049909, 26.21, 99596.66, 38.24, 41250.40, 0, 0xb0
318, 1405050113, 26.22, 99593.38, 38.23, 41250.40, 0, 0xb0
319, 1405050316, 26.22, 99595.61, 38.24, 41290.32, 0, 0xb0
320, 1405050520, 26.22, 99594.73, 38.23, 41250.40, 0, 0xb0
321, 1405050723, 26.22, 99594.06, 38.22, 41290.32, 0, 0xb0
